ID_título|Categorías
OB001|[["[('Sr. D. R. P.', 'MISC')]", ('Enviando', 'enviar', 'VERB'), ('obras', 'obra', 'NOUN')]]
OB002|[[('mujer', 'mujer', 'NOUN'), ('piadosa', 'piadoso', 'ADJ'), "[('Fragmentos', 'MISC')]"]]
OB003|[["[('Desvarío', 'MISC')]"]]
OB004|[["[('Soneto', 'PER')]", ('Gloria', 'gloria', 'PROPN'), ('pobreza', 'pobreza', 'NOUN'), "[('inmortal Quintana...', 'MISC')]"]]
OB005|[["[('Balada', 'PER')]", ('despedida', 'despedida', 'NOUN'), ('hija', 'hija', 'NOUN')]]
OB006|[[('viaje', 'viaje', 'NOUN'), "[('Luna', 'MISC')]", ('Prólogo', 'prólogo', 'NOUN'), ('pesadilla', 'pesadilla', 'PROPN'), "[('Mocquet', 'PER')]"]]
OB007|[[('álbum', 'álbum', 'NOUN'), "[('señora M…', 'PER')]"]]
OB008|[[('primavera', 'primavera', 'NOUN')]]
OB009|[[('perejilera', 'perejilera', 'NOUN')]]
OB010|[[('viaje', 'viaje', 'NOUN'), "[('Luna', 'MISC')]", ('Continuación', 'continuación', 'NOUN')]]
OB011|[[('señor', 'señor', 'NOUN'), "[('Don B. M.', 'PER')]"]]
OB012|[[('orillas', 'orilla', 'NOUN'), "[('Manzanares', 'LOC')]", ('súplica', 'súplica', 'NOUN')]]
OB013|[[('viaje', 'viaje', 'NOUN'), "[('Luna', 'MISC')]", ('Continuación', 'continuación', 'NOUN')]]
OB014|[[('Fragmentos', 'fragmentos', 'NOUN'), "[('de la Rosa de Alejandra', 'PER')]"]]
OB015|[[('Gente', 'gente', 'NOUN'), ('morena', 'moreno', 'ADJ')]]
OB016|[[('viaje', 'viaje', 'NOUN'), "[('Luna', 'MISC')]", ('Continuación', 'continuación', 'NOUN')]]
OB017|[[('excmo', 'excmo', 'NOUN'), "[('Sr. D. Agustín Esteban Collantes', 'MISC')]", ('día', 'día', 'NOUN'), ('santo', 'santo', 'NOUN')]]
OB017bis|[[('niña', 'niña', 'NOUN'), "[('Margarita Aurora de Wilson', 'PER')]", "[('Serrano', 'PER')]", ('día', 'día', 'NOUN'), ('cumpleaños', 'cumpleaños', 'NOUN')]]
OB018|[[('Costumbres', 'costumbres', 'NOUN'), '[("siglo XIX", "DATE")]']]
OB019|[["[('Margarita', 'PER')]", ('Novela', 'novela', 'NOUN'), ('bretona', 'bretono', 'ADJ')]]
OB020|[[('escondidos', 'esconder', 'ADJ'), ('tapada', 'tapada', 'NOUN'), ('Fragmentos', 'fragmentos', 'NOUN')]]
OB021|[[('apreciable', 'apreciable', 'ADJ'), ('amiga', 'amiga', 'NOUN'), "[('Señora doña M. Del Pilar Sinués de Marco', 'PER')]", ('álbum', 'álbum', 'NOUN')]]
OB022|[[('Costumbres', 'costumbres', 'NOUN'), '[("siglo XIX", "DATE")]']]
OB023|[["[('Margarita', 'PER')]", ('Novela', 'novela', 'NOUN'), ('bretona', 'bretono', 'ADJ'), ('Continuación', 'continuación', 'NOUN')]]
OB024|[[('niña', 'niña', 'NOUN'), "[('Margarita Aurora de Wilson', 'PER')]", "[('Serrano', 'PER')]"]]
OB025|[["[('María', 'PER')]"]]
OB026|[["[('Alteza Real', 'PER')]", "[('Príncipe de Asturias', 'PER')]"]]
OB027|[["[('Margarita', 'PER')]", ('Novela', 'novela', 'NOUN'), ('bretona', 'bretono', 'ADJ'), ('Conclusión', 'Conclusión', 'PROPN')]]
OB028|[[('otoño', 'otoño', 'NOUN')]]
OB029|[["[('Soneto', 'PER')]", ('Aún', 'aún', 'ADV'), ('eco', 'eco', 'NOUN'), ('tienen', 'tener', 'VERB'), ('alma', 'alma', 'NOUN')]]
OB030|[[('Atentado', 'atentado', 'NOUN'), "[('SS. MM. II', 'PER')]"]]
OB031|[["[('El matrimonio de la Princesa real de Inglaterra [...]', 'MISC')]"], [('Hace', 'hacer', 'VERB'), ('años', 'año', 'NOUN'), ('banquero', 'banquero', 'NOUN'), ('muy', 'mucho', 'ADV'), ('rico', 'rico', 'ADJ')], [('periódicos', 'periódico', 'NOUN'), ('franceses', 'francés', 'ADJ'), ('extranjero', 'extranjero', 'NOUN')]]
OB032|[["[('Poesía', 'MISC')]", "[('Oda', 'PER')]"]]
OB033|[[('buen', 'buen', 'ADJ'), ('amigo', 'amigo', 'NOUN'), ('distinguido', 'distinguir', 'ADJ'), ('escritor', 'escritor', 'NOUN'), ('don', 'don', 'ADJ'), "[('Alejandro Dumas', 'PER')]", ('prueba', 'prueba', 'NOUN'), ('sincera', 'sincero', 'ADJ'), ('amistad', 'amistad', 'NOUN')]]
OB034|[[('luna', 'luna', 'NOUN'), "[('Soneto', 'PER')]"]]
OB035|[[('apariencias', 'apariencia', 'NOUN'), ('engañan', 'engañar', 'VERB'), ('Historia-cuento', 'historia-cuento', 'NOUN')]]
OB036|[[('viaje', 'viaje', 'NOUN'), "[('SS.', 'MISC')]", "[('AA. [...', 'MISC')]"], [('sábado', 'sábado', 'NOUN')], ["[('El príncipe Mirza-Ally-Kan-Bahadoor [...]', 'MISC')]"], [('Habláse', 'hablar', 'VERB'), ('círculos', 'círculo', 'NOUN'), ('aristocrático', 'aristocrático', 'ADJ'), ('matrimonio', 'matrimonio', 'NOUN')]]
OB037|[[('invierno', 'invierno', 'NOUN')]]
OB038|[[('hada', 'hada', 'NOUN'), ('azul', 'azul', 'ADJ')]]
OB039|[[('lunes', 'lunes', 'NOUN'), ('corriente', 'corriente', 'NOUN'), ('inaugurado', 'inaugurar', 'VERB')], [('Vamos', 'ir', 'VERB'), ('contar', 'contar', 'VERB'), ('historia', 'historia', 'NOUN'), ('ocurrida', 'ocurrir', 'ADJ'), ('días', 'día', 'NOUN'), ('Pascua', 'Pascua', 'PROPN')], ["[('Ismail', 'PER')]", ('generalísimo', 'generalísimo', 'ADJ'), ('ejército', 'ejército', 'NOUN'), ('otomano', 'otomano', 'ADJ')]]
OB040|[[('navío', 'navío', 'NOUN'), "[('Leviatán', 'MISC')]"]]
OB041|[[('Ayes', 'ayes', 'PROPN'), ('corazón', 'corazón', 'NOUN')]]
OB042|[[('Carta', 'carta', 'NOUN'), "[('M. de Lamartine', 'PER')]"]]
OB043|[[('Introducción', 'introducción', 'NOUN')]]
OB045|[["[('Isabel II', 'PER')]"]]
OB046|[["[('Hamlet', 'PER')]"]]
OB048|[[('lector', 'lector', 'NOUN'), ('pide', 'pedir', 'VERB')], [('trata', 'trata', 'NOUN'), ('decadencia', 'decadencia', 'NOUN'), ('costumbres', 'costumbre', 'NOUN')], ["[('Malibran', 'ORG')]", ('recibía', 'recibir', 'VERB'), "[('Londres', 'LOC')]"], [('gobierno', 'gobierno', 'NOUN'), "[('Brasil', 'ORG')]"]]
OB049|[[('Consignamos', 'consignar', 'VERB'), ('acarta', 'acarta', 'NOUN'), ('original', 'original', 'ADJ'), ('enos', 'enos', 'NOUN'), ('dirigido', 'dirigir', 'VERB'), "[('M. de Lamartine', 'PER')]"]]
OB050|[["[('Porvenir', 'PER')]", ('raza', 'raza', 'NOUN'), ('latina', 'latino', 'ADJ'), "[('Francia', 'ORG')]", "[('Nuevo-Mundo', 'LOC')]", ('Introducción', 'introducción', 'NOUN')]]
OB052|[["[('Confederación Argentina', 'ORG')]", ('república', 'república', 'NOUN'), "[('Uruguay-Le Paraguay', 'ORG')]"]]
OB053|[["[('S. M. La emperatriz de los franceses', 'MISC')]"]]
OB054|[[('Cursos', 'curso', 'NOUN'), ('familiares', 'familiar', 'ADJ'), ('literatura', 'literatura', 'NOUN'), ('pintura', 'pintura', 'NOUN')]]
OB055|[[('perro', 'perro', 'NOUN'), "[('Zurbarán', 'LOC')]"]]
OB057|[[('Serenatas', 'serenatas', 'PROPN'), ('Introducción', 'introducción', 'NOUN'), ('Fragmentos', 'Fragmentos', 'PROPN')]]
OB058|[[('viene', 'venir', 'VERB'), ('periodista', 'periodista', 'NOUN'), ('inglés', 'inglés', 'ADJ')], [('sucedido', 'suceder', 'VERB'), ('alrededores', 'alrededor', 'NOUN'), "[('Filadelfia', 'LOC')]"], [('Máximas', 'máxima', 'ADJ')]]
OB059|[[('Recuerdo', 'recordar', 'VERB'), ('baile', 'baile', 'NOUN'), ('hotel', 'hotel', 'NOUN'), "[('Ville', 'LOC')]"]]
OB060|[[('Abertura', 'abertura', 'NOUN'), "[('Paraguay', 'LOC')]", ('ríos', 'río', 'NOUN')]]
OB061|[["[('Escma', 'ORG')]", ('Sra', 'sra', 'PROPN'), "[('Dª Gertrudis Gómez de Avellaneda', 'PER')]"]]
OB063|[[('marzo', 'marzo', 'PROPN')]]
OB064|[[('Cursos', 'curso', 'NOUN'), ('familiares', 'familiar', 'ADJ'), ('literatura', 'literatura', 'NOUN'), "[('Leopoldo Robert', 'PER')]"]]
OB065|[[('Leyenda', 'leyenda', 'NOUN'), ('pastoral', 'pastoral', 'ADJ')]]
OB066|[[('dalia', 'dalia', 'NOUN')]]
OB067|[["[('Leemos en el Monitor  [...]', 'MISC')]"], ["[(''Anuario diplomático de 1859' [...]', 'MISC')]"], [('Hace', 'hacer', 'VERB'), ('semanas', 'semana', 'NOUN'), ('diarios', 'diario', 'NOUN'), "[('Alto', 'LOC')]", "[('Bajo Rin', 'LOC')]"], [('aquí', 'aquí', 'ADV'), ('siguiente', 'siguiente', 'ADJ'), ('anécdota', 'anécdota', 'NOUN')], [('curioso', 'curioso', 'ADJ'), ('dicho', 'decir', 'VERB')], ["[('El matrimonio del hijo mayor [...]', 'MISC')]"], ["[('Savonnette', 'PER')]", ('vilain', 'vilain', 'NOUN')]]
OB068|[[('Carta', 'carta', 'NOUN'), "[('Ramón de la Sagra', 'PER')]"]]
OB069|[[('Artículo', 'artículo', 'NOUN'), "[('Estados-Unidos', 'ORG')]", "[('Paraguay', 'ORG')]"]]
OB070|[[('Costumbres', 'costumbres', 'NOUN'), ('andaluzas', 'andaluza', 'ADJ'), ('marineros', 'marinero', 'NOUN')]]
OB071|[[('Viaje', 'viaje', 'NOUN'), ('vestido', 'vestido', 'NOUN'), ('boda', 'boda', 'NOUN')]]
OB072|[["[('SS. AA. II', 'MISC')]", ('príncipe', 'príncipe', 'NOUN'), "[('princesa Napoleón', 'PER')]"]]
OB073|[[('miércoles', 'miércoles', 'NOUN'), ('ceniza', 'ceniza', 'NOUN')]]
OB074|[[('Cursos', 'curso', 'NOUN'), ('familiares', 'familiar', 'ADJ'), ('literatura', 'literatura', 'NOUN'), "[('Leopoldo Robert', 'PER')]", "[('Conclusión', 'ORG')]"]]
OB075|[[('días', 'día', 'NOUN'), ('hacen', 'hacer', 'VERB'), ('adelantos', 'adelanto', 'NOUN'), ('fotografía', 'fotografía', 'NOUN')], [('Acaba', 'acabar', 'VERB'), ('llegar', 'llegar', 'VERB'), "[('San Petesburgo', 'MISC')]"], ["[('El Entreacto publica un acarta fechada en Génova', 'MISC')]"]]
OB076|[["[('Memorándum especial por la guerra de Italia', 'MISC')]"]]
OB077|[[('Introducción', 'introducción', 'NOUN')]]
OB078|[["[('Pbro', 'PER')]", "[('D. Félix Varela', 'PER')]"]]
OB079|[[('flores', 'flor', 'NOUN'), ('mayo', 'mayo', 'NOUN')]]
OB081|[["[('catedral de Bron', 'LOC')]"]]
OB082|[['NULL']]
OB083|[[('Viaje', 'viaje', 'NOUN'), ('rededpr', 'rededpr', 'NOUN'), ('vestido', 'vestido', 'NOUN'), ('boda', 'boda', 'NOUN'), ('Conclusiones', 'conclusiones', 'NOUN')]]
OB084|[["[('Artículo II', 'MISC')]", "[('Estados-Unidos', 'ORG')]", "[('Paraguay', 'ORG')]"]]
OB085|[[]]
OB086|[[('vea', 'ver', 'VERB'), ('principales', 'principal', 'ADJ'), ('intereses', 'interés', 'NOUN'), ('amortización', 'amortización', 'NOUN'), "[('Deuda', 'MISC')]", ('pública', 'público', 'ADJ')]]
OB088|[[('Carta', 'carta', 'NOUN'), "[('M. Alejandro Dumas', 'PER')]"]]
OB089|[["[('Carta del Sr.', 'MISC')]", "[('Guillemot', 'PER')]"]]
OB090|[["[('Napoleón III', 'PER')]"]]
OB091|[["[('Víctor Manuel II', 'PER')]"]]
OB092|[[('oso', 'oso', 'NOUN')]]
OB093|[["[('Poesía', 'MISC')]", ('amigo', 'amigo', 'NOUN'), "[('Mariano G. Manrique', 'PER')]"]]
OB097|[[('Perfil', 'perfil', 'NOUN'), ('inglés', 'inglés', 'ADJ')]]
OB101|[[('ostra', 'ostra', 'NOUN')]]
OB102|[["[('Poesía', 'MISC')]", "[('Napoleón III', 'PER')]"]]
OB103|[[('tumba', 'tumba', 'NOUN'), ('cementerio', 'cementerio', 'NOUN'), "[('Montmartre', 'LOC')]", "[('Fragmento', 'MISC')]"]]
OB104|[[('Consideraciones', 'consideraciones', 'NOUN'), ('vestidos', 'vestido', 'NOUN')]]
OB106|[[('Gran', 'Gran', 'ADJ'), ('batalla', 'batalla', 'NOUN'), "[('Solferino', 'PER')]"]]
OB107|[["[('Memorándum especial por la guerra de Italia', 'MISC')]"]]
OB108|[["[('Batalla de Solferino', 'MISC')]", ('emperador', 'emperador', 'NOUN'), ('emperatriz', 'emperatriz', 'NOUN')]]
OB109|[["[('Ejército de Italia', 'ORG')]", ('Proclama', 'proclamar', 'VERB')]]
OB111|[[('entrevista', 'entrevista', 'NOUN'), "[('Villafranca', 'LOC')]", ('Nuevos', 'nuevo', 'ADJ'), ('detalles', 'detalle', 'NOUN')]]
OB112|[["[('mariscal Vaillant', 'PER')]", ('mayor', 'mayor', 'ADJ'), ('general', 'general', 'NOUN'), ('ejército', 'ejército', 'NOUN'), "[('Italia', 'LOC')]"]]
OB113|[["[('Poesía', 'MISC')]", ('Costumbres', 'costumbres', 'NOUN'), ('andaluzas', 'andaluza', 'ADJ'), ('baile', 'baile', 'NOUN'), ('candil', 'candil', 'NOUN')]]
OB114|[["[('S. M.', 'PER')]", ('emperador', 'emperador', 'NOUN'), "[('Napoleón III', 'PER')]", "[('Fragmentos', 'ORG')]"]]
OB115|[[('fotografía', 'fotografía', 'NOUN')]]
OB116|[[('festín', 'festín', 'NOUN'), "[('Baltasar', 'PER')]", ('Estudio', 'estudio', 'NOUN'), ('bíblico', 'bíblico', 'ADJ')]]
OB117|[[]]
OB119|[[('primera', 'primero', 'ADJ'), ('quincena', 'quincena', 'NOUN'), ('mes', 'mes', 'NOUN'), ('agosto', 'agosto', 'PROPN')]]
OB120|[[('general', 'general', 'NOUN'), "[('Garibaldi', 'PER')]"]]
OB121|[[('días', 'día', 'NOUN')]]
OB122|[["[('Señora Doña Emilia Serrano de Wilson', 'PER')]", ('débil', 'débil', 'ADJ'), ('muestra', 'muestra', 'NOUN'), ('aprecio', 'aprecio', 'NOUN')]]
OB124|[["[('Offland', 'PER')]"]]
OB127|[[('señorita', 'señorita', 'NOUN'), "[('doña María Verdejo', 'PER')]", "[('Durán', 'PER')]"]]
OB128|[[('cifra', 'cifra', 'NOUN'), ('ciprés', 'ciprés', 'NOUN')]]
OB130|[["[('María Leczinska', 'PER')]"]]
OB131|[[('Composición', 'composición', 'NOUN'), ('ópera', 'ópera', 'NOUN'), "[('Otello', 'MISC')]", "[('Rossini', 'PER')]"]]
OB132|[[('robo', 'robo', 'NOUN'), ('niño', 'niño', 'NOUN'), "[('señora Hua', 'PER')]"]]
OB133|[[('señora', 'señora', 'NOUN'), "[('doña Carolina Coronado', 'PER')]"]]
OB134|[[('granadina', 'granadino', 'NOUN'), ('Marcha', 'Marcha', 'NOUN'), ('guerrera', 'guerrera', 'ADJ')]]
OB135|[[('genio', 'genio', 'NOUN')]]
OB136|[["[('María Leczinska', 'PER')]"]]
OB137|[[('coro', 'coro', 'NOUN'), ('ángeles', 'ángel', 'NOUN')]]
OB138|[[('kaleidescopio', 'kaleidescopio', 'NOUN')]]
OB139|[[('duelo', 'duelo', 'NOUN'), ('mujeres', 'mujer', 'NOUN')]]
OB140|[[('secretos', 'secreto', 'NOUN'), ('hermosura', 'hermosura', 'NOUN')]]
OB141|[["[('niña Adelaida', 'PER')]", ('día', 'día', 'NOUN')]]
OB142|[["[('Esther', 'PER')]"]]
OB143|[[('Origen', 'origen', 'NOUN'), ('instrumentos', 'instrumento', 'NOUN'), ('guitarra', 'guitarra', 'NOUN')]]
OB144|[["[('Tetuán', 'LOC')]"]]
OB145|[[('duelo', 'duelo', 'NOUN'), ('mujeres', 'mujer', 'NOUN'), ('Continuación', 'continuación', 'NOUN')]]
OB146|[[('Secretos', 'secreto', 'NOUN'), ('hermosura', 'hermosura', 'NOUN'), ('Continuación', 'continuación', 'NOUN')]]
OB148|[[('L', 'l', 'PROPN'), ('vuelta', 'vuelta', 'NOUN'), ('golondrina', 'golondrina', 'NOUN'), ('Fragmentos', 'Fragmentos', 'PROPN')]]
OB149|[[('duelo', 'duelo', 'NOUN'), ('mujeres', 'mujer', 'NOUN'), ('Continuación', 'continuación', 'NOUN')]]
OB150|[[('Secretos', 'secreto', 'NOUN'), ('hermosura', 'hermosura', 'NOUN'), ('Continuación', 'continuación', 'NOUN')]]
OB152|[[('sauce', 'sauce', 'NOUN')]]
OB153|[["[('Balada', 'PER')]"]]
OB154|[[('duelo', 'duelo', 'NOUN'), ('mujeres', 'mujer', 'NOUN'), ('Continuación', 'continuación', 'NOUN')]]
OB155|[[('hermana', 'hermana', 'NOUN'), "[('Velázquez', 'PER')]"]]
OB156|[[('cuaresma', 'cuaresma', 'NOUN'), ('amor', 'amor', 'NOUN')]]
OB158|[[('mejor', 'mejor', 'ADJ'), ('niña', 'niña', 'NOUN')]]
OB160|[[('duelo', 'duelo', 'NOUN'), ('mujeres', 'mujer', 'NOUN'), ('Continuación', 'continuación', 'NOUN')]]
OB161|[[('museo', 'museo', 'NOUN'), ('viviente', 'viviente', 'ADJ'), ('colección', 'colección', 'NOUN'), ('cuadros', 'cuadro', 'NOUN'), ('sociales', 'social', 'ADJ'), ('Cuadro', 'cuadro', 'NOUN'), ('primero', 'primero', 'ADJ'), "[('doña Eulogia', 'PER')]"]]
OB162|[[('hermana', 'hermana', 'NOUN'), "[('Velázquez', 'PER')]"]]
OB163|[[('oliva', 'oliva', 'NOUN'), ('paz', 'paz', 'NOUN'), "[('España', 'ORG')]", "[('Marruecos', 'ORG')]"]]
OB164|[[('Descripción', 'descripción', 'NOUN'), ('teatro', 'teatro', 'NOUN'), "[('D. José Piquer', 'PER')]"]]
OB165|[[('duelo', 'duelo', 'NOUN'), ('mujeres', 'mujer', 'NOUN'), ('Continuación', 'continuación', 'NOUN')]]
OB166|[[('hermana', 'hermana', 'NOUN'), "[('Velázquez', 'PER')]"]]
OB167|[[('ángel', 'ángel', 'NOUN'), ('inclusa', 'inclusa', 'NOUN')]]
OB168|[[('espejos', 'espejo', 'NOUN'), ('mágicos', 'mágico', 'ADJ'), ('Cuento', 'cuento', 'NOUN'), ('fantástico', 'fantástico', 'ADJ')]]
OB169|[[('Cartas', 'cartas', 'NOUN'), "[('Cuba', 'LOC')]", "[('Cojimar', 'PER')]"]]
OB170|[[('Días', 'día', 'NOUN'), ('pasados', 'pasado', 'ADJ'), ('hallaba', 'hallar', 'VERB'), ('bosque', 'bosque', 'NOUN')], ["[('La ópera de Verdi [...]', 'MISC')]"], ["[('El marqués de Casa-Riera [...]', 'MISC')]"], [('No', 'no', 'ADV'), ('resistir', 'resistir', 'VERB'), ('deseo', 'deseo', 'NOUN'), ('copiar', 'copiar', 'VERB')]]
OB171|[[('cama', 'cama', 'NOUN'), ('matrimonio', 'matrimonio', 'NOUN'), "[('Balada', 'PER')]"]]
OB172|[[('tumbas', 'tumba', 'NOUN'), "[('Dolora', 'PER')]"]]
OB173|[["[('Colón', 'LOC')]"]]
OB174|[[('madre', 'madre', 'NOUN')]]
OB175|[[('baile', 'baile', 'NOUN'), ('manga', 'manga', 'NOUN'), ('larga', 'largo', 'ADJ')]]
OB176|[[('heredad', 'heredad', 'NOUN'), ('bendecida', 'bendecido', 'ADJ')]]
OB177|[[]]
OB178|[["[('Macahé', 'PER')]"]]
OB180|[["[('Emilia', 'PER')]", ('álbum', 'álbum', 'NOUN')]]
OB181|[[('ascensión', 'ascensión', 'NOUN'), "[('Señor', 'PER')]"]]
OB182|[[('madre', 'madre', 'NOUN')]]
OB183|[[('Cartas', 'cartas', 'NOUN'), "[('Cuba', 'LOC')]", ('conuco', 'conuco', 'NOUN'), ('indio', 'indio', 'NOUN')]]
OB184|[[('Amor', 'amor', 'NOUN'), ('fe', 'fe', 'NOUN')]]
OB185|[[('rosas', 'rosa', 'NOUN')]]
OB187|[["[('Griseldina', 'PER')]"]]
OB188|[[('sobrina', 'sobrina', 'NOUN'), "[('Araceli Abril de Armendi', 'PER')]"]]
OB189|[[('mensage', 'mensage', 'NOUN')]]
OB190|[["[('Griseldina', 'PER')]"]]
OB191|[[('Cartas', 'cartas', 'NOUN'), "[('Cuba', 'LOC')]", ('conuco', 'conuco', 'NOUN'), ('indio', 'indio', 'NOUN')]]
OB192|[[('caricia', 'caricia', 'NOUN'), ('curar', 'curar', 'VERB'), ('defecto', 'defecto', 'NOUN')]]
OB193|[[('princpio', 'princpio', 'NOUN'), ('fin', 'fin', 'NOUN')]]
OB194|[[('felicidad', 'felicidad', 'NOUN')]]
OB195|[[('álbum', 'álbum', 'NOUN'), ('niña', 'niña', 'NOUN')]]
OB196|[[('arte', 'arte', 'NOUN'), "[('Oda', 'PER')]"]]
OB197|[[('dama', 'dama', 'NOUN'), ('muy', 'mucho', 'ADV'), ('galanteada', 'galanteado', 'ADJ'), ('álbum', 'álbum', 'NOUN')]]
OB198|[[('princpio', 'princpio', 'NOUN'), ('fin', 'fin', 'NOUN'), ('Novela', 'novela', 'NOUN'), ('costumbres', 'costumbre', 'NOUN'), ('contemporáneas', 'contemporáneo', 'ADJ')]]
OB199|[[('felicidad', 'felicidad', 'NOUN')]]
OB201|[["[('Periquito el Veleidoso', 'PER')]"]]
OB202|[[('Cartas', 'cartas', 'NOUN'), "[('Cuba', 'LOC')]", ('conuco', 'conuco', 'NOUN'), ('indio', 'indio', 'NOUN')]]
OB203|[["[('Santo Domingo', 'LOC')]"]]
OB204|[[('toque', 'toque', 'NOUN'), ('oración', 'oración', 'NOUN')]]
OB205|[["[('Soledad', 'PER')]"]]
OB206|[[('princpio', 'princpio', 'NOUN'), ('fin', 'fin', 'NOUN'), ('Novela', 'novela', 'NOUN'), ('costumbres', 'costumbre', 'NOUN'), ('contemporáneas', 'contemporáneo', 'ADJ')]]
OB207|[[('bailes', 'bail', 'NOUN'), ('campestres', 'campestre', 'ADJ'), "[('Santander', 'LOC')]"]]
OB208|[["[('Periquito el Veleidoso', 'PER')]", "[('Conclusion', 'ORG')]"]]
OB209|[[('Duelos', 'duelos', 'NOUN'), ('amor', 'amor', 'NOUN')]]
